mass_g,radius_cm,density_g_cm3,temperature_K,luminosity_erg_s,X,Y3,Y4
4.2038613999492264e+30,1505216491.3246088,282.99882513165886,8062345.450068794,1.1976082890422471e+30,0.157232194539713,0.00033851136511185454,0.8224292940951753
4.379483274518382e+30,1526734091.3924139,282.21577490572554,8051069.511522785,1.242030906361815e+30,0.15737121900739848,0.0003423256965575939,0.8222864552960442
4.56062581737699e+30,1548370006.2271678,281.4199462952202,8039595.266607604,1.2874790059319368e+30,0.15751200425591877,0.000346256088293783,0.8221417396557876
4.7473955731276973e+30,1570123532.1433773,280.6110565775843,8027921.88852685,1.3339519275487193e+30,0.15765526224974769,0.00035030778246559113,0.8219944299677869
4.9398990944636626e+30,1591993955.1146364,279.7896701022973,8016048.597982973,1.381447796630749e+30,0.15779941746919107,0.0003544810239861391,0.821846101506823
5.13824287835796e+30,1613980563.6345105,278.9551786291495,8003974.666066333,1.4299637289494928e+30,0.15794608802887417,0.0003587833900730395,0.8216951285810531
5.34253330123042e+30,1636082658.2176557,278.1079114038514,7991699.415234458,1.4794960061528854e+30,0.15809435391354903,0.00036321686622582455,0.8215424292202252
5.552876553133272e+30,1658299515.615188,277.24817619752525,7979222.215918093,1.5300393718318051e+30,0.1582433532309815,0.0003677836354782823,0.8213888631335404
5.769378570997774e+30,1680630427.4882953,276.3753340196638,7966542.492774192,1.5815877481732116e+30,0.15839483430030996,0.0003724921599052766,0.8212326735397849
5.992144970987013e+30,1703074699.530584,275.48972414462736,7953659.723259444,1.6341342343731456e+30,0.15854787222002198,0.0003773448236340296,0.8210747829563442
6.221280980000077e+30,1725631625.2537642,274.59136530678506,7940573.434309573,1.687670576993357e+30,0.1587024309514404,0.0003823462506604799,0.8209152227978993
6.456891366374831e+30,1748300499.122494,273.6802804562245,7927283.205092872,1.7421874151289693e+30,0.15885847324319172,0.0003875012407583738,0.8207540255160501
6.699080369838706e+30,1771080616.51985,272.756496787353,7913788.667071431,1.7976742740378982e+30,0.15901596061754467,0.0003928147771668934,0.8205912246052887
6.947951630757254e+30,1793971273.711078,271.8200457635674,7900089.5037923865,1.8541195607025328e+30,0.1591748533821221,0.0003982920348000941,0.820426854583078
7.203608118732017e+30,1816971767.8055089,270.8709631461093,7886185.450599265,1.911510561370232e+30,0.1593351106278757,0.0004039383888152188,0.8202609509833092
7.466152060601058e+30,1840081396.6760156,269.90928997365717,7872076.294503249,1.9698334402392822e+30,0.15949668751691512,0.00040975941649096893,0.820093553066594
7.735684867895948e+30,1863299477.5352402,268.9346331399914,7857761.875645164,2.029073647161892e+30,0.15966078204020628,0.00041576418977543115,0.8199234537700185
8.012307063811219e+30,1886625310.7709675,267.94788804712016,7843242.0812168475,2.089215154825751e+30,0.15982495278920075,0.0004219524747901404,0.8197530947360093
8.296118209742402e+30,1910058198.4549525,266.94823829189016,7828516.848643282,2.1502408428374656e+30,0.15999162739897443,0.0004283371148213473,0.8195800354862044
8.587216831451551e+30,1933597442.454177,265.93663045607116,7813586.164376395,2.2121324791104688e+30,0.16015822292690293,0.0004349178194289439,0.8194068592536683
8.885700344918284e+30,1957242346.3252358,264.9122125933194,7798450.063332959,2.2748707586168313e+30,0.1603273112573231,0.0004417085314532886,0.8192309802112238
